675,Enrico Bordoni,59,2,1904,1969
676,Paul-Émile Borduas,20,2,1905,1960
677,Wendela Boreel,15,1,NULL,NULL
678,Francisco Borès,104,2,1898,1972
682,Jonathan Borofsky,4,2,1942,NULL
684,Arnold von Borsig,45,2,NULL,NULL
685,Elena Borstein,4,1,1946,NULL
686,Sándor (Alexander) Bortnyik,51,2,1893,1976
687,Fritz Boscovits,107,2,1871,1965
688,Derek Boshier,15,2,1937,NULL
689,Richard Bosman,7,2,1944,NULL
690,Michael P. Bosniak,4,2,NULL,NULL
691,Rodolphe-Théophile Bosshard,107,2,1889,1960
692,Check  Boterf,4,2,1934,NULL
693,Fernando Botero,25,2,1932,NULL
694,Dorr Bothwell,4,1,1902,2000
696,Mario Botta,107,2,1943,NULL
697,Kenneth J. Botto,4,2,1937,NULL
698,Édouard Boubat,43,2,1923,1999
699,René Robert Bouché,4,2,1905,1963
700,Jean Boucher,43,2,NULL,NULL
701,Alice Boughton,4,1,1865,1943
702,Bouillon,43,NULL,NULL,NULL
703,Firmin Bouisset,43,2,1859,1925
704,Bart Boumans,34,2,NULL,NULL
705,Christine Boumeester,34,1,1904,1971
706,Louis Bouquet,43,2,1885,1952
707,Harry Bouras,4,2,1931,1993
708,Émile-Antoine Bourdelle,43,2,1861,1929
709,Jouineau Bourduge,43,NULL,NULL,NULL
710,Louise Bourgeois,4,1,1911,2010
711,Fergus Bourke,57,2,1934,2004
712,Margaret Bourke-White,4,1,1904,1971
